IPO Name,Sector,Open Date,Close Date,Listing Date,Price Band Low (Rs),Price Band High (Rs),Lot Size (Shares),Lot Value (Rs),Issue Size (Rs Cr),RII Sub (x),QIB Sub (x),NII Sub (x),Overall Sub (x),GMP (Rs),Est Listing Gain (%),Debt to Equity,ROE (%),Revenue Growth (%),Listing Price (Rs),Actual Listing Gain (%),Source,Last Updated,Detail URL
Dhaval Packaging,,,,2026-08-06 00:00:00,97,97,,,,,,,,,,,,,110,13.4,IPOGyani/ipostation,2026-09-17 00:00:00,
Oneindig Technologies,,,,2026-08-06 00:00:00,96,96,,,,,,,,,,,,,120,25,IPOGyani/ipostation,2026-09-17 00:00:00,
MV Electrosystems,,,,2026-08-06 00:00:00,425,425,,,,,,,,,,,,,519,22.1,IPOGyani/ipostation,2026-09-17 00:00:00,
Fusion Klassroom Edutech,,,,2026-08-07 00:00:00,159,159,,,,,,,,,,,,,170,6.9,IPOGyani/ipostation,2026-09-17 00:00:00,
H.R. Hygiene Products,,,,2026-08-05 00:00:00,88,88,,,,,,,,,,,,,,,IPOGyani/ipostation,2026-09-17 00:00:00,
Poojaa Precision Engg.,,,,2026-08-04 00:00:00,301,301,,,,,,,,,,,,,470,56.1,IPOGyani/ipostation,2026-09-17 00:00:00,
Pramodini Medicare,,,,2026-08-09 00:00:00,118,118,,,,,,,,,,,,,,,IPOGyani/ipostation,2026-09-17 00:00:00,
Lalithaa Jewellery Mart,,,,2026-08-24 00:00:00,201,201,,,,,,,,,,,,,265.3,32,IPOGyani/ipostation,2026-09-17 00:00:00,
Shankesh Jewellers,,,,2026-08-25 00:00:00,93,93,,,,,,,,,,,,,102.2,9.9,IPOGyani/ipostation,2026-09-17 00:00:00,
Sunshine Pictures,,,,2026-08-25 00:00:00,360,360,,,,,,,,,,,,,394,9.4,IPOGyani/ipostation,2026-09-17 00:00:00,
Millworks Technologies,,,,2026-07-21 00:00:00,331,331,,,,,,,,,,,,,628.9,90,IPOGyani/ipostation,2026-09-17 00:00:00,
Indo-MIM,,,,2026-07-30 00:00:00,485,485,,,,,,,,,,,,,703,45,IPOGyani/ipostation,2026-09-17 00:00:00,
Lohia Corp,,,,2026-07-30 00:00:00,425,425,,,,,,,,,,,,,460,8.2,IPOGyani/ipostation,2026-09-17 00:00:00,
Xtranet Technologies,,,,2026-07-30 00:00:00,127,127,,,,,,,,,,,,,130.1,2.4,IPOGyani/ipostation,2026-09-17 00:00:00,
Caliber Mining,,,,2026-07-24 00:00:00,424,424,,,,,,,,,,,,,504,18.9,IPOGyani/ipostation,2026-09-17 00:00:00,
Kusumgar,,,,2026-07-15 00:00:00,419,419,,,,,,,,,,,,,574,37,IPOGyani/ipostation,2026-09-17 00:00:00,
Sotefin Bharat,,,,2026-07-23 00:00:00,187,187,,,,,,,,,,,,,205,9.6,IPOGyani/ipostation,2026-09-17 00:00:00,
Metalic Technoforge,,,,2026-07-28 00:00:00,77,77,,,,,,,,,,,,,87,13,IPOGyani/ipostation,2026-09-17 00:00:00,
SBI Funds Management,,,,2026-07-21 00:00:00,574,574,,,,,,,,,,,,,610,6.3,IPOGyani/ipostation,2026-09-17 00:00:00,
Shree Balaji Mala,,,,2026-07-29 00:00:00,70,70,,,,,,,,,,,,,133,90,IPOGyani/ipostation,2026-09-17 00:00:00,
Teja Engineering Industries,,,,2026-07-07 00:00:00,220,220,,,,,,,,,,,,,418,90,IPOGyani/ipostation,2026-09-17 00:00:00,
Kratikal Tech,,,,2026-07-07 00:00:00,135,135,,,,,,,,,,,,,192,42.2,IPOGyani/ipostation,2026-09-17 00:00:00,
Advit Jewels,,,,2026-07-01 00:00:00,138,138,,,,,,,,,,,,,187,35.5,IPOGyani/ipostation,2026-09-17 00:00:00,
Atharva Polyplast,,,,2026-07-07 00:00:00,60,60,,,,,,,,,,,,,69,15,IPOGyani/ipostation,2026-09-17 00:00:00,
Sampark India Logistics,,,,2026-07-07 00:00:00,84,84,,,,,,,,,,,,,89,6,IPOGyani/ipostation,2026-09-17 00:00:00,
Crazy Snacks,,,,2026-07-03 00:00:00,42,42,,,,,,,,,,,,,44,4.8,IPOGyani/ipostation,2026-09-17 00:00:00,
Shreedhar Spinners,,,,2026-07-01 00:00:00,53,53,,,,,,,,,,,,,54.4,2.6,IPOGyani/ipostation,2026-09-17 00:00:00,
Jivial Industries,,,,2026-07-01 00:00:00,196,196,,,,,,,,,,,,,156.8,-20,IPOGyani/ipostation,2026-09-17 00:00:00,
Diksha Polymers,,,,2026-06-04 00:00:00,112,112,,,,,,,,,,,,,114.5,2.2,IPOGyani/ipostation,2026-09-17 00:00:00,
IC Electricals,,,,2026-07-10 00:00:00,99,99,,,,,,,,,,,,,166,67.7,IPOGyani/ipostation,2026-09-17 00:00:00,
Devson Catalyst,,,,2026-07-16 00:00:00,118,118,,,,,,,,,,,,,196.15,66.2,IPOGyani/ipostation,2026-09-17 00:00:00,
Happy Steels,,,,2026-07-16 00:00:00,66,66,,,,,,,,,,,,,68,3,IPOGyani/ipostation,2026-09-17 00:00:00,
Adon Agro Commodities,,,,2026-07-06 00:00:00,70,70,,,,,,,,,,,,,78.25,11.8,IPOGyani/ipostation,2026-09-17 00:00:00,
Laser Power & Infra,,,,2026-07-16 00:00:00,214,214,,,,,,,,,,,,,269,25.7,IPOGyani/ipostation,2026-09-17 00:00:00,
Knack Packaging,,,,2026-07-08 00:00:00,170,170,,,,,,,,,,,,,186,9.4,IPOGyani/ipostation,2026-09-17 00:00:00,
Juniper Green Energy,,,,2026-08-06 00:00:00,225,225,,,,,,,,,,,,,242,7.6,IPOGyani/ipostation,2026-09-17 00:00:00,
Manipal Health Enterprises,,,,2026-08-05 00:00:00,590,590,,,,,,,,,,,,,655,11,IPOGyani/ipostation,2026-09-17 00:00:00,
Merritronix,,,,2026-06-08 00:00:00,149,149,,,,,,,,,,,,,283.1,90,IPOGyani/ipostation,2026-09-17 00:00:00,
SMR Jewels,,,,2026-06-08 00:00:00,128,128,,,,,,,,,,,,,102.95,-19.6,IPOGyani/ipostation,2026-09-17 00:00:00,
Avience Biomedicals,,,,2026-06-25 00:00:00,208,208,,,,,,,,,,,,,395.2,90,IPOGyani/ipostation,2026-09-17 00:00:00,
Liotech Industries,,,,2026-06-24 00:00:00,321,321,,,,,,,,,,,,,257,-19.9,IPOGyani/ipostation,2026-09-17 00:00:00,
Clay Craft,,,,2026-06-24 00:00:00,203,203,,,,,,,,,,,,,211,3.9,IPOGyani/ipostation,2026-09-17 00:00:00,
Susan Electricals India,,,,2026-06-18 00:00:00,127,127,,,,,,,,,,,,,186,46.5,IPOGyani/ipostation,2026-09-17 00:00:00,
Horizon Reclaim (India),,,,2026-06-19 00:00:00,103,103,,,,,,,,,,,,,151,46.6,IPOGyani/ipostation,2026-09-17 00:00:00,
CMR Green Technologies,,,,2026-06-10 00:00:00,192,192,,,,,,,,,,,,,275.4,43.4,IPOGyani/ipostation,2026-09-17 00:00:00,
Hexagon Nutrition,,,,2026-06-12 00:00:00,45,45,,,,,,,,,,,,,48,6.7,IPOGyani/ipostation,2026-09-17 00:00:00,
Shree Ram Twistex,Textiles / Cotton Yarn,,,2026-03-02 00:00:00,104,104,,,,,,,,,,,,,68,-34.6,IPOGyani/ipostation,2026-09-17 00:00:00,
,,,,,,,,,,,,,,,,,,,,,,2026-09-17 00:00:00,
